time,action,symbol,direction,lot,entry,sl,tp,profit
2026-03-27 18:46:53,BE,XBRUSD,BUY,0.1,107.21,107.21,108.0,38.0
2026-03-27 20:00:10,OPEN,GER40,SELL,0.11,22302.8,22342.33326,22187.49465,0
2026-03-27 20:01:12,BE,GER40,SELL,0.11,22301.8,22301.8,22187.5,14.43
2026-03-27 20:10:06,OPEN,XAUUSD,SELL,0.06,4418.13,4425.85139,4395.60928,0
2026-03-27 20:16:44,OPEN,GER40,SELL,0.1,22286.8,22328.35428,22165.60002,0
2026-03-27 20:31:00,OPEN,GER40,SELL,0.1,22285.8,22326.01573,22168.50413,0
2026-03-27 21:15:48,OPEN,XBRUSD,BUY,1.0,108.08,107.57343,108.97001,0
2026-03-27 21:16:41,OPEN,GER40,SELL,0.1,22283.9,22326.81198,22158.74007,0
2026-03-27 21:22:24,OPEN,GER40,SELL,0.1,22288.6,22331.76336,22162.70685,0
2026-03-27 21:25:14,OPEN,XBRUSD,BUY,1.0,108.09,107.58834,108.96568,0
2026-03-27 21:30:51,OPEN,XAGUSD,SELL,0.02,67.915,68.25401,66.92623,0
2026-03-27 21:35:17,OPEN,UK100,SELL,0.19,9925.3,9940.19709,9881.85015,0
2026-03-27 21:36:10,BE,UK100,SELL,0.19,9925.3,9925.3,9881.9,-4.29
2026-03-27 21:37:27,OPEN,GER40,SELL,0.07,22276.5,22321.41431,22145.49992,0
2026-03-27 21:38:05,OPEN,XAUUSD,SELL,0.03,4421.83,4432.74846,4389.98449,0
2026-03-27 21:38:06,OPEN,XAGUSD,SELL,0.02,67.867,68.22205,66.83143,0
2026-03-27 21:39:24,OPEN,NAS100,SELL,0.09,23430.5,23473.11017,23306.22033,0
2026-03-27 21:40:02,OPEN,XBRUSD,BUY,1.0,108.08,107.56987,108.98037,0
2026-03-27 21:40:18,BE,NAS100,SELL,0.09,23431.0,23431.0,23306.2,6.48
2026-03-27 21:43:22,OPEN,XAUUSD,SELL,0.03,4427.06,4437.94416,4395.31452,0
2026-03-27 21:43:38,OPEN,GER40,SELL,0.07,22290.6,22336.4939,22156.74278,0
2026-03-27 21:55:13,OPEN,XAUUSD,SELL,0.03,4423.93,4434.70682,4392.49762,0
2026-03-27 21:56:37,BE,XAUUSD,SELL,0.03,4423.8,4423.8,4392.5,4.62
2026-03-27 21:59:40,OPEN,GER40,SELL,0.06,22273.6,22322.49224,22130.99764,0
2026-03-27 22:10:07,OPEN,GER40,SELL,0.06,22273.6,22321.51952,22129.91806,0
2026-03-27 22:30:00,OPEN,GER40,SELL,0.06,22283.6,22332.77172,22140.18248,0
2026-03-27 22:40:03,OPEN,GER40,SELL,0.05,22285.8,22335.82786,22139.8854,0
2026-03-27 22:45:16,OPEN,GER40,SELL,0.06,22285.6,22334.42689,22143.18823,0
2026-03-27 22:46:33,BE,GER40,SELL,0.05,22285.8,22285.8,22139.9,9.45
2026-03-27 22:50:38,OPEN,GER40,SELL,0.06,22287.8,22336.91742,22144.54086,0
2026-03-27 22:54:50,BE,GER40,SELL,0.06,22287.8,22287.8,22144.5,12.04
2026-03-27 22:55:51,OPEN,GER40,SELL,0.05,22281.0,22330.77414,22135.82544,0
2026-03-27 23:01:04,OPEN,GER40,SELL,0.05,22275.8,22325.56251,22130.65934,0
2026-03-27 23:15:11,OPEN,US30,SELL,0.04,45613.7,45700.68699,45359.98793,0
2026-03-27 23:15:12,OPEN,SPX500,SELL,1.5,6425.1,6436.88347,6390.73155,0
2026-03-27 23:15:13,OPEN,GER40,SELL,0.05,22293.6,22342.65937,22150.51017,0
2026-03-27 23:17:01,BE,GER40,SELL,0.05,22293.6,22293.6,22150.5,8.76
2026-03-27 23:17:48,BE,US30,SELL,0.04,45613.7,45613.7,45360.0,15.84
2026-03-27 23:17:48,BE,SPX500,SELL,1.5,6425.0,6425.0,6390.7,78.0
2026-03-27 23:20:21,OPEN,GER40,SELL,0.05,22270.6,22321.31513,22122.68087,0
2026-03-27 23:22:15,OPEN,US30,SELL,0.03,45577.0,45664.76364,45321.02272,0
2026-03-27 23:23:17,OPEN,SPX500,SELL,1.5,6424.0,6436.31077,6388.09358,0
